Date,Electricity
Mar-21,61560.817
Feb-21,87393.033
Jan-21,81340.13
Dec-20,78215.003
Nov-20,60895.921
Oct-20,59440.229
Sep-20,67977.564
Aug-20,90814.314
Jul-20,89367.616
Jun-20,64920.403
May-20,46093.826
Apr-20,40188.541
Mar-20,50144.633
Feb-20,55590.324
Jan-20,64547.736
Dec-19,72065.24
Nov-19,75046.174
Oct-19,66311.208
Sep-19,85215.957
Aug-19,93516.602
Jul-19,100224.713
Jun-19,78042.789
May-19,71387.602
Apr-19,59426.201
Mar-19,77819.349
Feb-19,79381.749
Jan-19,100294.41
Dec-18,99698.196
Nov-18,92257.715
Oct-18,86736.177
Sep-18,95961.853
Aug-18,114516.287
Jul-18,114748.806
Jun-18,100893.712
May-18,84633.935
Apr-18,72787.438
Mar-18,79982.641
Feb-18,81399.063
Jan-18,118557.188
Dec-17,105860.346
Nov-17,90347.26
Oct-17,89114.281
Sep-17,97560.379
Aug-17,118809.977
Jul-17,127018.728
Jun-17,106825.311
May-17,92141.448
Apr-17,80742.742
Mar-17,88687.575
Feb-17,86157.863
Jan-17,114572.021
Dec-16,117954.773
Nov-16,86275.31
Oct-16,98473.771
Sep-16,113346.968
Aug-16,134762.429
Jul-16,135420.053
Jun-16,115196.696
May-16,80934.705
Apr-16,71419.13
Mar-16,71345.754
Feb-16,91909.152
Jan-16,112623.96
Dec-15,88621.73
Nov-15,86361.96
Oct-15,95871.51
Sep-15,117005.407
Aug-15,133651.285
Jul-15,138060.486
Jun-15,124677.117
May-15,103671.569
Apr-15,88146.966
Mar-15,107471.004
Feb-15,126023.568
Jan-15,131430.696
Dec-14,123560.732
Nov-14,118117.548
Oct-14,110322.186
Sep-14,125061.692
Aug-14,147328.991
Jul-14,148472.187
Jun-14,136469.816
May-14,117738.378
Apr-14,108278.679
Mar-14,135290.235
Feb-14,142217.613
Jan-14,155916.303
Dec-13,140702.679
Nov-13,119857.61
Oct-13,119942.622
Sep-13,132046.768
Aug-13,148288.398
Jul-13,151653.145
Jun-13,137160.145
May-13,118379.725
Apr-13,110786.244
Mar-13,129469.24
Feb-13,122483.696
Jan-13,136952.224
Dec-12,132923.026
Nov-12,127647.76
Oct-12,119952.488
Sep-12,124495.93
Aug-12,150940.993
Jul-12,159177.892
Jun-12,130147.235
May-12,114929.688
Apr-12,95284.3
Mar-12,104410.422
Feb-12,112773.619
